epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,321.996,1.34676,1.45788,1.88176,0.8819,0.87188,0.93028,0.63534,1.1164,0.96688,1.81469,0.000558953,0.000558953,0.000558953
125,324.524,1.37549,1.46616,1.93978,0.90125,0.86511,0.93117,0.61909,1.18616,0.96353,1.88372,0.00055188,0.00055188,0.00055188
126,327.076,1.38741,1.40989,1.9339,0.89644,0.83168,0.92954,0.62586,1.20884,0.99056,1.9348,0.000544806,0.000544806,0.000544806
127,329.602,1.36219,1.44169,1.9162,0.79612,0.89122,0.92752,0.61777,1.15656,0.98553,1.87544,0.000537733,0.000537733,0.000537733
128,332.131,1.40347,1.33671,1.90529,0.85213,0.88744,0.93141,0.59927,1.33639,1.00939,2.07361,0.000530659,0.000530659,0.000530659
129,334.662,1.34142,1.37017,1.88639,0.89999,0.85135,0.93539,0.62627,1.21895,0.94426,1.92564,0.000523586,0.000523586,0.000523586
130,337.207,1.41239,1.55748,1.94583,0.91241,0.83251,0.93508,0.60879,1.27296,1.0037,1.93278,0.000516512,0.000516512,0.000516512
131,339.769,1.35791,1.4423,1.90286,0.85348,0.81181,0.9282,0.6236,1.23016,0.99865,1.88371,0.000509438,0.000509438,0.000509438
132,342.315,1.36542,1.47231,1.91619,0.84133,0.83637,0.91811,0.55703,1.23041,0.98722,1.90207,0.000502365,0.000502365,0.000502365
133,344.856,1.39908,1.40619,1.90677,0.86058,0.9305,0.94261,0.60382,1.14611,0.92832,1.81404,0.000495291,0.000495291,0.000495291
134,347.331,1.36587,1.4072,1.88707,0.86861,0.91375,0.94702,0.65283,1.20207,0.9363,1.82777,0.000488218,0.000488218,0.000488218
135,349.87,1.27721,1.29964,1.80476,0.85258,0.90231,0.94219,0.62567,1.20452,0.97225,1.82764,0.000481144,0.000481144,0.000481144
136,352.401,1.32934,1.33128,1.86561,0.9323,0.84663,0.94172,0.64412,1.14754,0.94037,1.82272,0.000474071,0.000474071,0.000474071
137,354.936,1.3028,1.34224,1.83523,0.87317,0.94579,0.95016,0.66388,1.15443,0.87668,1.87481,0.000466997,0.000466997,0.000466997
138,357.541,1.3456,1.3602,1.87443,0.82047,0.96109,0.94726,0.65164,1.14204,0.89021,1.80725,0.000459924,0.000459924,0.000459924
139,360.117,1.41275,1.53935,1.91715,0.95302,0.87249,0.95718,0.66112,1.13681,0.85018,1.79681,0.00045285,0.00045285,0.00045285
140,362.674,1.30435,1.37633,1.84201,0.93391,0.87414,0.94861,0.66935,1.1134,0.86426,1.78309,0.000445777,0.000445777,0.000445777
141,365.221,1.31707,1.38893,1.85417,0.94825,0.81827,0.95352,0.67091,1.07799,0.85557,1.73583,0.000438703,0.000438703,0.000438703
142,367.784,1.337,1.31424,1.87641,0.90252,0.82681,0.93522,0.67752,1.11712,0.8581,1.78681,0.000431629,0.000431629,0.000431629
143,370.299,1.27801,1.32184,1.81948,0.88392,0.90088,0.93037,0.6396,1.1797,0.91758,1.84397,0.000424556,0.000424556,0.000424556
144,372.843,1.27454,1.33075,1.78361,0.92067,0.90736,0.95201,0.66499,1.08033,0.864,1.75927,0.000417482,0.000417482,0.000417482
145,375.411,1.3178,1.37165,1.83745,0.94083,0.88878,0.95284,0.67275,1.175,0.88229,1.86522,0.000410409,0.000410409,0.000410409
146,377.993,1.27756,1.31504,1.83924,0.8708,0.85333,0.94912,0.63316,1.27114,0.94813,1.97731,0.000403335,0.000403335,0.000403335
147,380.523,1.29242,1.35614,1.8396,0.92175,0.88508,0.95142,0.666,1.13512,0.91708,1.85998,0.000396262,0.000396262,0.000396262
148,383.06,1.35385,1.37614,1.8577,0.92348,0.88277,0.94853,0.6666,1.10105,0.92838,1.81999,0.000389188,0.000389188,0.000389188
149,385.548,1.24009,1.24623,1.77645,0.95713,0.87147,0.95258,0.66333,1.11569,0.91005,1.80156,0.000382115,0.000382115,0.000382115
150,388.101,1.34637,1.35622,1.82715,0.91539,0.89987,0.9543,0.67178,1.10709,0.88791,1.78019,0.000375041,0.000375041,0.000375041
151,390.679,1.25636,1.29104,1.7937,0.89204,0.9275,0.94728,0.65144,1.15614,0.8916,1.80545,0.000367967,0.000367967,0.000367967
152,393.203,1.26686,1.33487,1.79357,0.89943,0.85717,0.94298,0.65198,1.14357,0.87529,1.78489,0.000360894,0.000360894,0.000360894
153,395.747,1.29862,1.33404,1.82037,0.88307,0.89776,0.96272,0.6734,1.0865,0.87876,1.78841,0.00035382,0.00035382,0.00035382
154,398.316,1.26011,1.22496,1.80682,0.82995,0.92019,0.93895,0.65018,1.19936,0.89714,1.8992,0.000346747,0.000346747,0.000346747
155,400.828,1.20912,1.20342,1.76582,0.92603,0.93008,0.95397,0.67896,1.1034,0.82298,1.77171,0.000339673,0.000339673,0.000339673
156,403.356,1.26231,1.26111,1.81155,0.89887,0.93315,0.9575,0.67287,1.10394,0.83982,1.79202,0.0003326,0.0003326,0.0003326
157,405.919,1.27949,1.38475,1.83433,0.94868,0.85415,0.95665,0.65917,1.1693,0.91386,1.87042,0.000325526,0.000325526,0.000325526
158,408.408,1.22284,1.22955,1.78671,0.91126,0.88564,0.96313,0.67864,1.09991,0.86102,1.76912,0.000318453,0.000318453,0.000318453
159,410.996,1.17202,1.19223,1.73437,0.88387,0.94368,0.9557,0.68251,1.05587,0.81101,1.70388,0.000311379,0.000311379,0.000311379
160,413.535,1.23659,1.23919,1.79515,0.90612,0.92475,0.95726,0.68172,1.07042,0.80992,1.72773,0.000304306,0.000304306,0.000304306
161,416.065,1.26637,1.32157,1.75944,0.87105,0.91745,0.9449,0.66787,1.12585,0.844,1.79681,0.000297232,0.000297232,0.000297232
162,418.567,1.21192,1.19609,1.75051,0.90859,0.89102,0.94912,0.65228,1.14215,0.88893,1.81693,0.000290158,0.000290158,0.000290158
163,421.081,1.28299,1.28024,1.80836,0.90448,0.94035,0.94712,0.69888,1.04027,0.8459,1.70887,0.000283085,0.000283085,0.000283085
164,423.574,1.21348,1.26949,1.75729,0.93302,0.93162,0.95195,0.70717,1.04355,0.80926,1.69181,0.000276011,0.000276011,0.000276011
165,426.081,1.21981,1.23401,1.78819,0.94096,0.92444,0.9607,0.70056,1.02698,0.79887,1.68366,0.000268938,0.000268938,0.000268938
166,428.621,1.24217,1.21665,1.76243,0.92779,0.88246,0.96569,0.67754,1.05322,0.77692,1.73208,0.000261864,0.000261864,0.000261864
167,431.157,1.21766,1.22577,1.77048,0.95063,0.83091,0.94814,0.68918,1.03872,0.76845,1.71009,0.000254791,0.000254791,0.000254791
168,433.677,1.21385,1.25554,1.75937,0.94543,0.87843,0.95486,0.69581,1.00761,0.77187,1.66985,0.000247717,0.000247717,0.000247717
169,436.197,1.19151,1.17421,1.7483,0.94664,0.89666,0.95647,0.70667,1.00964,0.80205,1.67768,0.000240644,0.000240644,0.000240644
170,438.87,1.21005,1.20919,1.7426,0.90894,0.9275,0.95505,0.69831,1.02177,0.81404,1.69655,0.00023357,0.00023357,0.00023357
171,441.428,1.23776,1.23673,1.77972,0.90356,0.90231,0.953,0.70055,1.03309,0.79745,1.71247,0.000226497,0.000226497,0.000226497
172,443.974,1.18435,1.24741,1.72404,0.91294,0.91763,0.95201,0.69504,1.00575,0.78361,1.68343,0.000219423,0.000219423,0.000219423
173,446.512,1.20753,1.20822,1.7339,0.92095,0.93376,0.95368,0.70501,0.99902,0.75891,1.66719,0.000212349,0.000212349,0.000212349
174,449.016,1.20795,1.20902,1.7222,0.95601,0.90943,0.95487,0.72306,1,0.74291,1.64958,0.000205276,0.000205276,0.000205276
175,451.574,1.2067,1.2419,1.77359,0.95801,0.90365,0.95999,0.72485,0.99898,0.7348,1.63468,0.000198202,0.000198202,0.000198202
176,454.106,1.19151,1.17172,1.76205,0.92398,0.93943,0.95901,0.71071,1.01105,0.74917,1.65433,0.000191129,0.000191129,0.000191129
177,456.64,1.17583,1.19046,1.70971,0.92534,0.93571,0.95701,0.70845,1.03233,0.76282,1.6891,0.000184055,0.000184055,0.000184055
178,459.14,1.2328,1.26296,1.75511,0.96603,0.86976,0.95636,0.69447,1.11877,0.78592,1.77775,0.000176982,0.000176982,0.000176982
179,461.647,1.23041,1.22847,1.73765,0.89692,0.93147,0.95249,0.70097,1.12173,0.80893,1.78141,0.000169908,0.000169908,0.000169908
180,464.162,1.17731,1.17389,1.70188,0.88192,0.92549,0.95209,0.7036,1.09222,0.82254,1.73863,0.000162835,0.000162835,0.000162835
181,466.712,1.18455,1.11927,1.70557,0.9058,0.93023,0.95366,0.7029,1.04339,0.81634,1.69976,0.000155761,0.000155761,0.000155761
182,469.275,1.15001,1.19822,1.70887,0.92825,0.92989,0.95552,0.70902,1.00538,0.7791,1.66001,0.000148687,0.000148687,0.000148687
183,471.79,1.12943,1.08568,1.67223,0.93127,0.92932,0.95754,0.71564,0.98026,0.73885,1.62465,0.000141614,0.000141614,0.000141614
184,474.274,1.1811,1.10892,1.70428,0.91312,0.94184,0.95873,0.72512,0.96462,0.71752,1.606,0.00013454,0.00013454,0.00013454
